Date,retorno_diario_activo,posicion,spread_estimado,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,equity_buy_and_hold
2017-02-27,-0.008323534753888362,0.0,0.009860105023494643,-0.0,-0.0,0.044321203105308064,5.288022150867209
2017-02-28,0.008701278737900386,1.0,0.007435222985471483,0.008701278737900386,0.0049836672451646444,0.04454208523349028,5.334034705574096
2017-03-01,-0.012137561381400763,0.0,0.0,-0.0,-0.0002,0.04453317681644358,5.269292531924669
2017-03-02,0.011822856366378476,1.0,0.0015675846454439102,0.011822856366378476,0.01103906404365652,0.04502478140738778,5.331590620682045
2017-03-03,-0.0010689992497515677,0.0,0.004732922991943861,-0.0,-0.0023664614959719305,0.04491823199582264,5.325891154308553
2017-03-06,-0.0012235782850820165,1.0,0.008726409460307307,-0.0012235782850820165,-0.00558678301523567,0.04466728358023397,5.31937450954343
2017-03-07,7.688522686843946e-05,1.0,0.0028112336117871966,7.688522686843946e-05,7.688522686843946e-05,0.04467071783446563,5.319783490859395
2017-03-08,-0.009261488298054066,0.0,0.0,-0.0,-0.0002,0.04466178369089874,5.27051437831062
2017-03-09,-0.0053304536022801274,1.0,0.008445050204908195,-0.0053304536022801274,-0.009552978704734226,0.044235130622384135,5.242420145956885
2017-03-10,0.010174560263371157,1.0,0.007493138174037142,0.010174560263371157,0.010174560263371157,0.04468520362465968,5.295759465657834
2017-03-13,0.003075498922620268,0.0,0.00043689249096114373,0.0,-0.00021844624548057187,0.04467544230969933,5.312046568188921
2017-03-14,0.0008431395113910334,0.0,0.00037020057307014293,0.0,0.0,0.04467544230969933,5.31652536453691
2017-03-15,0.010186003387270492,0.0,0.0,0.0,0.0,0.04467544230969933,5.370679509908593
2017-03-16,-0.015162908228845029,0.0,0.001788514206984836,-0.0,-0.0,0.04467544230969933,5.2892443893733105
2017-03-17,0.0025406195167618773,1.0,0.01042496550049075,0.0025406195167618773,-0.002671863233483498,0.044556075637952434,5.302682346897876
2017-03-20,-0.00261086469336258,0.0,0.002124381991363312,-0.0,-0.001062190995681656,0.04450874857560689,5.288837760778243
